F1_macro,activation_f,batch_size,dropout,hidden_size,lr,num_layers,opt,preprocessing,selected_features,type
0.7749,sigmoid,1024,0.5,128,0.001,2,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.6981,relu,512,0.5,1024,0.01,4,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7106,sigmoid,1024,0.2,64,0.01,4,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7132,relu,512,0.5,1024,0.01,2,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.6791,relu,256,0.2,1024,0.01,1,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.626,sigmoid,256,0.5,1024,0.001,2,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.7254,relu,256,0.5,1024,0.01,1,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.6912,sigmoid,1024,0.0,512,0.01,3,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.6863,relu,512,0.5,1024,0.01,5,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.6725,relu,256,0.2,128,0.001,4,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.7171,sigmoid,256,0.5,128,0.01,3,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.7826,sigmoid,256,0.2,256,0.001,4,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7595,sigmoid,512,0.5,256,0.001,5,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7529,relu,1024,0.2,256,0.001,3,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7461,sigmoid,256,0.2,256,0.001,4,adam,log,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.7803,sigmoid,1024,0.0,128,0.001,3,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7421,relu,512,0.2,64,0.001,5,adam,log,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7195,sigmoid,512,0.2,256,0.001,2,adam,log,"n_flows,n_packets,n_bytes",MLP
0.7273,sigmoid,256,0.2,64,0.0001,4,adam,z_score,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.5622,relu,1024,0.0,64,0.0001,1,adam,z_score,"n_flows,n_packets,n_bytes",MLP
0.6844,sigmoid,1024,0.0,512,0.001,1,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.7618,relu,512,0.0,256,0.01,4,adam,log,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.7125,relu,1024,0.5,256,0.0001,1,adam,z_score,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",MLP
0.6883,relu,1024,0.0,64,0.001,2,adam,z_score,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",MLP
0.7274,sigmoid,1024,0.2,512,0.001,5,adam,log,"n_flows,n_packets,n_bytes",MLP
