n_clusters,metric,features,undersampling,preprocessing,accuracy,f1_macro,macro_recall
1500,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.879539722231243,0.5963100957809232,0.5951345657424738
1250,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,log,0.8965944641098085,0.6163315328966538,0.6151959627392921
1750,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.889081934205826,0.48824637834809903,0.4780470301373428
2000,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,log,0.9081501206984272,0.6048020978812908,0.5615748613965847
250,euclidean,"n_flows,n_packets,n_bytes",False,z_score,0.8962643024929908,0.487839323780832,0.46789625139991187
1250,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.8901373688825382,0.4867420752045437,0.4774910666990741
250,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9048647419868152,0.6712437171883229,0.6806100184004643
250,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9102934649649812,0.6234479587203706,0.5771361814113037
1750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9093408675131794,0.6937457077709844,0.6926785582375778
1750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.917042834410418,0.6906055411457132,0.6616385897547599
250,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9077008844001342,0.6485477698233889,0.6142660333213291
500,euclidean,"n_flows,n_packets,n_bytes",False,z_score,0.8966161140518949,0.4968750152749127,0.47337678419631996
1000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9112352374457399,0.6659650294318723,0.6421730897562091
1750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,log,0.8976986111562152,0.6262290209484075,0.6315869926924842
1750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9148399528031262,0.6796879195869892,0.6503398790260464
250,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.8944132324446032,0.4966075452808008,0.4769460425728518
2000,euclidean,"n_flows,n_packets,n_bytes",False,log,0.9069485489126317,0.6054233855065182,0.5678449492521342
1750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9065534374695547,0.6858600690133124,0.6868132962987321
750,euclidean,"n_flows,n_packets,n_bytes",False,log,0.9043289059201767,0.5555912770521038,0.5076967980545964
1250,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.8776182898710746,0.5949402408476547,0.5938084909420912
500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9057199146992282,0.6719354986847712,0.6940599704430769
250,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,z_score,0.9023046363350978,0.6681995044306991,0.6859556373325592
1750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.9126911960510505,0.6776684316817554,0.6629746665343468
500,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9095140670498706,0.6514309700013844,0.6208467030086889
750,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9094707671656979,0.6523484371661298,0.6241590645132385
2000,euclidean,"n_flows,n_packets,n_bytes",False,z_score,0.8997553556544237,0.4927153936988045,0.46529512576924525
1250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9123826843763193,0.6673029189396572,0.6325335258504955
250,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",True,z_score,0.8750094718496628,0.5785088808091147,0.5731880540592574
1500,euclidean,"n_flows,n_packets,n_bytes",True,z_score,0.8884865607984499,0.4897572996504363,0.47879142796214263
1000,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.905790277011009,0.672390329520116,0.6763253651750695
250,euclidean,"tcp_udp_ratio_bytes,dir_ratio_bytes,avg_duration,avg_ttl",False,z_score,0.9081068208142543,0.655144946500941,0.6394446443856342
1750,euclidean,"n_bytes,n_dest_ports,n_dest_ip,dir_ratio_bytes,avg_ttl",False,z_score,0.8937583216964895,0.5607758022083353,0.5140674509918992
500,euclidean,"n_flows,n_packets,n_bytes",False,log,0.9030299093949924,0.536249684789181,0.49530581621068454
1500,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",False,log,0.915521925978848,0.6816816891288259,0.6553625542548024
750,euclidean,"n_flows,n_packets,n_bytes,n_dest_asn,n_dest_ports,n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl",True,log,0.9083341452061616,0.6862354395559342,0.6895266250337492
2000,euclidean,"n_flows,n_packets,n_bytes",True,log,0.8926325247079964,0.6178608093937221,0.6350850371283921
